,ReactionID,Participation,Stiochiometry,MoleculeID
17705,R-HSA-9018894,Substrate,1,R-ALL-29368
17706,R-HSA-9018894,Product,1,R-ALL-9023708
17707,R-HSA-9018895,Substrate,1,R-ALL-9023653
17708,R-HSA-9018895,Substrate,2,R-ALL-29450
17709,R-HSA-9018895,Product,1,R-ALL-29356
17710,R-HSA-9018895,Product,1,R-ALL-9023651
17711,R-HSA-9018895,Product,1,R-ALL-111745
17712,R-HSA-9018901,Substrate,1,R-ALL-9023702
17713,R-HSA-9018901,Substrate,1,R-ALL-29364
17714,R-HSA-9018901,Product,1,R-ALL-9023700
17715,R-HSA-9018901,Product,1,R-ALL-29366
17716,R-HSA-9018907,Substrate,1,R-ALL-9023651
17717,R-HSA-9018907,Substrate,1,R-ALL-29368
17718,R-HSA-9018907,Product,1,R-ALL-9023644
17719,R-HSA-9020249,Substrate,1,R-ALL-5359016
17720,R-HSA-9020249,Substrate,1,R-ALL-9024797
17721,R-HSA-9020249,Product,1,R-ALL-9024803
17722,R-HSA-9020249,Product,1,R-ALL-9024637
17723,R-HSA-9020251,Substrate,1,R-ALL-29368
17724,R-HSA-9020251,Substrate,1,R-ALL-9024463
17725,R-HSA-9020251,Product,1,R-ALL-9024479
17726,R-HSA-9020252,Substrate,1,R-ALL-29356
17727,R-HSA-9020252,Substrate,1,R-ALL-9024602
17728,R-HSA-9020252,Product,1,R-ALL-9024574
17729,R-HSA-9020253,Substrate,1,R-ALL-29356
17730,R-HSA-9020253,Substrate,1,R-ALL-9024781
17731,R-HSA-9020253,Product,1,R-ALL-9024809
17732,R-HSA-9020255,Substrate,1,R-ALL-29366
17733,R-HSA-9020255,Substrate,1,R-ALL-9024765
17734,R-HSA-9020255,Product,1,R-ALL-9024768
17735,R-HSA-9020255,Product,1,R-ALL-29364
17736,R-HSA-9020256,Substrate,1,R-ALL-29366
17737,R-HSA-9020256,Substrate,1,R-ALL-9024479
17738,R-HSA-9020256,Product,1,R-ALL-29364
17739,R-HSA-9020256,Product,1,R-ALL-9024602
17740,R-HSA-9020257,Substrate,1,R-ALL-29356
17741,R-HSA-9020257,Substrate,1,R-ALL-9024893
17742,R-HSA-9020257,Product,1,R-ALL-9024879
17743,R-HSA-9020258,Substrate,1,R-ALL-29356
17744,R-HSA-9020258,Substrate,1,R-ALL-9024768
17745,R-HSA-9020258,Product,1,R-ALL-9024759
17746,R-HSA-9020259,Substrate,1,R-ALL-29368
17747,R-HSA-9020259,Substrate,1,R-ALL-9024463
17748,R-HSA-9020259,Product,1,R-ALL-9024576
17749,R-HSA-9020260,Substrate,1,R-ALL-5359016
17750,R-HSA-9020260,Substrate,1,R-ALL-9024765
17751,R-HSA-9020260,Product,1,R-ALL-9024637
17752,R-HSA-9020260,Product,1,R-ALL-9024795
17753,R-HSA-9020261,Substrate,1,R-ALL-29368
17754,R-HSA-9020261,Substrate,1,R-ALL-9024011
17755,R-HSA-9020261,Product,1,R-ALL-9024522
17756,R-HSA-9020262,Substrate,1,R-ALL-29366
17757,R-HSA-9020262,Substrate,1,R-ALL-9024522
17758,R-HSA-9020262,Product,1,R-ALL-29364
17759,R-HSA-9020262,Product,1,R-ALL-9024893
17760,R-HSA-9020264,Substrate,1,R-ALL-29368
17761,R-HSA-9020264,Substrate,1,R-ALL-9024815
17762,R-HSA-9020264,Product,1,R-ALL-9024797
17763,R-HSA-9020270,Substrate,1,R-ALL-29356
17764,R-HSA-9020270,Substrate,1,R-ALL-9024577
17765,R-HSA-9020270,Product,1,R-ALL-9024570
17766,R-HSA-9020271,Substrate,2,R-ALL-29450
17767,R-HSA-9020271,Substrate,1,R-ALL-9024522
17768,R-HSA-9020271,Product,1,R-ALL-29356
