ID,RHEA_ID,GeneName
P08910,RHEA:26132,ABHD2
P08910,RHEA:26132,ABHD2
P08910,RHEA:26132,ABHD2
P08910,RHEA:26132,ABHD2
P08954,RHEA:17093,
P08954,RHEA:17093,
P08954,RHEA:17093,
P08954,RHEA:17093,
P08954,RHEA:17093,
P09194,RHEA:14333,
P09194,RHEA:14333,
P09194,RHEA:14333,
P09194,RHEA:14333,
P09194,RHEA:14333,
P09598,RHEA:10604,plc
P09598,RHEA:10604,plc
P09598,RHEA:10604,plc
P09598,RHEA:10604,plc
P09598,RHEA:10604,plc
P09978,RHEA:10604,hlb
P09978,RHEA:10604,hlb
P09978,RHEA:10604,hlb
P09978,RHEA:10604,hlb
P09978,RHEA:10604,hlb
P0A257,RHEA:19709,plsC
P0A257,RHEA:19709,plsC
P0A257,RHEA:19709,plsC
P0A257,RHEA:19709,plsC
P0A257,RHEA:19709,plsC
P0A258,RHEA:19709,plsC
P0A258,RHEA:19709,plsC
P0A258,RHEA:19709,plsC
P0A258,RHEA:19709,plsC
P0A258,RHEA:19709,plsC
P0A4V5,RHEA:10868,fbpC
P0A4V5,RHEA:10868,fbpC
P0A4V5,RHEA:10868,fbpC
P0A4V5,RHEA:10868,fbpC
P0A4V5,RHEA:10868,fbpC
P0A517,RHEA:49996,cyp124
P0A517,RHEA:49996,cyp124
P0A517,RHEA:49996,cyp124
P0A517,RHEA:49996,cyp124
P0A517,RHEA:49996,cyp124
P0A5R9,RHEA:10604,plcD
P0A5R9,RHEA:10604,plcD
P0A5R9,RHEA:10604,plcD
P0A5R9,RHEA:10604,plcD
P0A5R9,RHEA:10604,plcD
P0A651,RHEA:10868,BQ2027_MB3154C
P0A651,RHEA:10868,BQ2027_MB3154C
P0A651,RHEA:10868,BQ2027_MB3154C
P0A651,RHEA:10868,BQ2027_MB3154C
P0A651,RHEA:10868,BQ2027_MB3154C
P0A924,RHEA:27429,pgpB
P0A924,RHEA:27429,pgpB
P0A924,RHEA:27429,pgpB
P0A924,RHEA:27429,pgpB
P0A924,RHEA:27429,pgpB
P0A924,RHEA:27449,pgpB
P0A924,RHEA:27449,pgpB
P0A924,RHEA:27449,pgpB
P0A924,RHEA:27449,pgpB
P0A924,RHEA:27449,pgpB
P0A924,RHEA:33751,pgpB
P0A924,RHEA:33751,pgpB
P0A924,RHEA:33751,pgpB
P0A924,RHEA:33751,pgpB
P0A924,RHEA:33751,pgpB
P0A925,RHEA:27429,pgpB
P0A925,RHEA:27429,pgpB
P0A925,RHEA:27429,pgpB
P0A925,RHEA:27429,pgpB
P0A925,RHEA:27429,pgpB
P0A925,RHEA:27449,pgpB
P0A925,RHEA:27449,pgpB
P0A925,RHEA:27449,pgpB
P0A925,RHEA:27449,pgpB
P0A925,RHEA:27449,pgpB
P0A925,RHEA:33751,pgpB
P0A925,RHEA:33751,pgpB
P0A925,RHEA:33751,pgpB
P0A925,RHEA:33751,pgpB
P0A925,RHEA:33751,pgpB
P0A926,RHEA:27429,pgpB
P0A926,RHEA:27429,pgpB
P0A926,RHEA:27429,pgpB
P0A926,RHEA:27429,pgpB
P0A926,RHEA:27429,pgpB
P0A926,RHEA:27449,pgpB
P0A926,RHEA:27449,pgpB
P0A926,RHEA:27449,pgpB
P0A926,RHEA:27449,pgpB
P0A926,RHEA:27449,pgpB
P0A926,RHEA:33751,pgpB
P0A926,RHEA:33751,pgpB
P0A926,RHEA:33751,pgpB
P0A926,RHEA:33751,pgpB
P0A926,RHEA:33751,pgpB
P0ABF8,RHEA:12593,pgsA
P0ABF8,RHEA:12593,pgsA
P0ABF8,RHEA:12593,pgsA
P0ABF8,RHEA:12593,pgsA
P0ABF8,RHEA:12593,pgsA
P0ABF9,RHEA:12593,pgsA
P0ABF9,RHEA:12593,pgsA
P0ABF9,RHEA:12593,pgsA
P0ABF9,RHEA:12593,pgsA
P0ABF9,RHEA:12593,pgsA
P0ABG0,RHEA:12593,pgsA
P0ABG0,RHEA:12593,pgsA
P0ABG0,RHEA:12593,pgsA
P0ABG0,RHEA:12593,pgsA
P0ABG0,RHEA:12593,pgsA
P0ABG1,RHEA:16229,cdsA
P0ABG1,RHEA:16229,cdsA
P0ABG1,RHEA:16229,cdsA
P0ABG1,RHEA:16229,cdsA
P0ABG1,RHEA:16229,cdsA
P0ABG2,RHEA:16229,cdsA
P0ABG2,RHEA:16229,cdsA
P0ABG2,RHEA:16229,cdsA
P0ABG2,RHEA:16229,cdsA
P0ABG2,RHEA:16229,cdsA
P0ABG3,RHEA:16229,cdsA
P0ABG3,RHEA:16229,cdsA
P0ABG3,RHEA:16229,cdsA
P0ABG3,RHEA:16229,cdsA
P0ABG3,RHEA:16229,cdsA
P0ABN1,RHEA:10272,dgkA
P0ABN1,RHEA:10272,dgkA
P0ABN1,RHEA:10272,dgkA
P0ABN1,RHEA:10272,dgkA
P0ABN1,RHEA:10272,dgkA
P0ABN2,RHEA:10272,dgkA
P0ABN2,RHEA:10272,dgkA
P0ABN2,RHEA:10272,dgkA
P0ABN2,RHEA:10272,dgkA
P0ABN2,RHEA:10272,dgkA
P0ABN3,RHEA:10272,dgkA
P0ABN3,RHEA:10272,dgkA
P0ABN3,RHEA:10272,dgkA
P0ABN3,RHEA:10272,dgkA
P0ABN3,RHEA:10272,dgkA
P0ABN4,RHEA:10272,dgkA
P0ABN4,RHEA:10272,dgkA
P0ABN4,RHEA:10272,dgkA
P0ABN4,RHEA:10272,dgkA
P0ABN4,RHEA:10272,dgkA
P0AD42,RHEA:33751,pgpC
P0AD42,RHEA:33751,pgpC
P0AD42,RHEA:33751,pgpC
P0AD42,RHEA:33751,pgpC
P0AD42,RHEA:33751,pgpC
P0AD43,RHEA:33751,pgpC
P0AD43,RHEA:33751,pgpC
P0AD43,RHEA:33751,pgpC
P0AD43,RHEA:33751,pgpC
P0AD43,RHEA:33751,pgpC
P0AET8,RHEA:19409,hdhA
P0AET8,RHEA:19409,hdhA
P0AET8,RHEA:19409,hdhA
P0AET8,RHEA:19409,hdhA
P0AET8,RHEA:19409,hdhA
P0AET9,RHEA:19409,hdhA
P0AET9,RHEA:19409,hdhA
P0AET9,RHEA:19409,hdhA
P0AET9,RHEA:19409,hdhA
P0AET9,RHEA:19409,hdhA
P0C089,RHEA:33751,Ptpmt1
P0C089,RHEA:33751,Ptpmt1
P0C089,RHEA:33751,Ptpmt1
P0C089,RHEA:33751,Ptpmt1
P0C089,RHEA:33751,Ptpmt1
P0C102,RHEA:16229,cdsA
P0C102,RHEA:16229,cdsA
P0C102,RHEA:16229,cdsA
P0C102,RHEA:16229,cdsA
P0C102,RHEA:16229,cdsA
P0C1Q3,RHEA:10344,Lpcat2
P0C1Q3,RHEA:10344,Lpcat2
P0C1Q3,RHEA:10344,Lpcat2
P0C1Q3,RHEA:10344,Lpcat2
P0C1Q3,RHEA:10344,Lpcat2
P0C1Q3,RHEA:12937,Lpcat2
P0C1Q3,RHEA:12937,Lpcat2
P0C1Q3,RHEA:12937,Lpcat2
P0C1Q3,RHEA:12937,Lpcat2
P0C1Q3,RHEA:12937,Lpcat2
P0C1Q3,RHEA:19709,Lpcat2
P0C1Q3,RHEA:19709,Lpcat2
P0C1Q3,RHEA:19709,Lpcat2
P0C1Q3,RHEA:19709,Lpcat2
P0C1Q3,RHEA:19709,Lpcat2
P0C1S9,RHEA:63432,Daglb
P0C1S9,RHEA:63432,Daglb
P0C1S9,RHEA:63432,Daglb
P0C1S9,RHEA:63432,Daglb
P0C1S9,RHEA:63432,Daglb
P0C1S9,RHEA:63436,Daglb
P0C1S9,RHEA:63436,Daglb
P0C1S9,RHEA:63436,Daglb
P0C1S9,RHEA:63436,Daglb
P0C1S9,RHEA:63436,Daglb
P0C216,RHEA:10604,plc
P0C216,RHEA:10604,plc
P0C216,RHEA:10604,plc
P0C216,RHEA:10604,plc
P0C216,RHEA:10604,plc
P0C2K0,RHEA:60700,
P0C2K0,RHEA:60700,
P0C2K0,RHEA:60700,
P0C2K0,RHEA:60700,
P0C2K0,RHEA:60700,
P0C2K0,RHEA:60704,
P0C2K0,RHEA:60704,
P0C2K0,RHEA:60704,
P0C2K0,RHEA:60704,
P0C2K0,RHEA:60704,
P0C2K1,RHEA:60700,
P0C2K1,RHEA:60700,
P0C2K1,RHEA:60700,
P0C2K1,RHEA:60700,
P0C2K1,RHEA:60700,
P0C2K1,RHEA:60704,
P0C2K1,RHEA:60704,
P0C2K1,RHEA:60704,
P0C2K1,RHEA:60704,
P0C2K1,RHEA:60704,
P0C2K2,RHEA:60700,
P0C2K2,RHEA:60700,
P0C2K2,RHEA:60700,
P0C2K2,RHEA:60700,
P0C2K2,RHEA:60700,
P0C2K2,RHEA:60704,
P0C2K2,RHEA:60704,
P0C2K2,RHEA:60704,
P0C2K2,RHEA:60704,
P0C2K2,RHEA:60704,
P0C2K3,RHEA:60700,
P0C2K3,RHEA:60700,
P0C2K3,RHEA:60700,
P0C2K3,RHEA:60700,
P0C2K3,RHEA:60700,
P0C2K3,RHEA:60704,
P0C2K3,RHEA:60704,
P0C2K3,RHEA:60704,
P0C2K3,RHEA:60704,
P0C2K3,RHEA:60704,
P0C2K4,RHEA:60700,
P0C2K4,RHEA:60700,
P0C2K4,RHEA:60700,
P0C2K4,RHEA:60700,
P0C2K4,RHEA:60700,
P0C2K4,RHEA:60704,
P0C2K4,RHEA:60704,
P0C2K4,RHEA:60704,
P0C2K4,RHEA:60704,
P0C2K4,RHEA:60704,
P0C2K5,RHEA:60700,
P0C2K5,RHEA:60700,
P0C2K5,RHEA:60700,
P0C2K5,RHEA:60700,
P0C2K5,RHEA:60700,
P0C2K5,RHEA:60704,
P0C2K5,RHEA:60704,
P0C2K5,RHEA:60704,
P0C2K5,RHEA:60704,
P0C2K5,RHEA:60704,
P0C2K6,RHEA:60700,
P0C2K6,RHEA:60700,
P0C2K6,RHEA:60700,
P0C2K6,RHEA:60700,
P0C2K6,RHEA:60700,
P0C2K6,RHEA:60704,
P0C2K6,RHEA:60704,
P0C2K6,RHEA:60704,
P0C2K6,RHEA:60704,
P0C2K6,RHEA:60704,
P0C2K7,RHEA:60700,
P0C2K7,RHEA:60700,
P0C2K7,RHEA:60700,
P0C2K7,RHEA:60700,
P0C2K7,RHEA:60700,
P0C2K7,RHEA:60704,
P0C2K7,RHEA:60704,
P0C2K7,RHEA:60704,
P0C2K7,RHEA:60704,
P0C2K7,RHEA:60704,
P0C2K8,RHEA:60700,
P0C2K8,RHEA:60700,
P0C2K8,RHEA:60700,
P0C2K8,RHEA:60700,
P0C2K8,RHEA:60700,
P0C2K8,RHEA:60704,
P0C2K8,RHEA:60704,
P0C2K8,RHEA:60704,
P0C2K8,RHEA:60704,
P0C2K8,RHEA:60704,
P0C2K9,RHEA:60700,
P0C2K9,RHEA:60700,
P0C2K9,RHEA:60700,
P0C2K9,RHEA:60700,
P0C2K9,RHEA:60700,
P0C2K9,RHEA:60704,
P0C2K9,RHEA:60704,
P0C2K9,RHEA:60704,
P0C2K9,RHEA:60704,
P0C2K9,RHEA:60704,
P0C2L0,RHEA:60700,
P0C2L0,RHEA:60700,
P0C2L0,RHEA:60700,
P0C2L0,RHEA:60700,
P0C2L0,RHEA:60700,
P0C2L0,RHEA:60704,
P0C2L0,RHEA:60704,
P0C2L0,RHEA:60704,
P0C2L0,RHEA:60704,
P0C2L0,RHEA:60704,
P0C2L1,RHEA:60700,
P0C2L1,RHEA:60700,
P0C2L1,RHEA:60700,
P0C2L1,RHEA:60700,
P0C2L1,RHEA:60700,
P0C2L1,RHEA:60704,
P0C2L1,RHEA:60704,
P0C2L1,RHEA:60704,
P0C2L1,RHEA:60704,
P0C2L1,RHEA:60704,
P0C2T1,RHEA:10868,fbpA
P0C2T1,RHEA:10868,fbpA
P0C2T1,RHEA:10868,fbpA
P0C2T1,RHEA:10868,fbpA
P0C2T1,RHEA:10868,fbpA
P0C2T2,RHEA:10868,fbpB
P0C2T2,RHEA:10868,fbpB
P0C2T2,RHEA:10868,fbpB
P0C2T2,RHEA:10868,fbpB
P0C2T2,RHEA:10868,fbpB
P0C548,RHEA:38643,Pnpla2
P0C548,RHEA:38643,Pnpla2
P0C548,RHEA:38643,Pnpla2
P0C548,RHEA:38643,Pnpla2
P0C548,RHEA:38643,Pnpla2
P0C548,RHEA:38647,Pnpla2
P0C548,RHEA:38647,Pnpla2
P0C548,RHEA:38647,Pnpla2
P0C548,RHEA:38647,Pnpla2
P0C548,RHEA:38647,Pnpla2
P0C5E7,RHEA:12709,age-
P0C5E7,RHEA:12709,age-
P0C5E7,RHEA:12709,age-
P0C5E7,RHEA:12709,age-
P0C5E7,RHEA:12709,age-
P0C869,RHEA:40571,PLA2G4B
P0C869,RHEA:40571,PLA2G4B
P0C869,RHEA:40571,PLA2G4B
P0C869,RHEA:40571,PLA2G4B
P0C869,RHEA:40571,PLA2G4B
P0C871,RHEA:41752,Pla2g4b
P0C871,RHEA:41752,Pla2g4b
P0C871,RHEA:41752,Pla2g4b
P0C871,RHEA:41752,Pla2g4b
P0C871,RHEA:41752,Pla2g4b
P0C871,RHEA:44524,Pla2g4b
P0C871,RHEA:44524,Pla2g4b
P0C871,RHEA:44524,Pla2g4b
P0C871,RHEA:44524,Pla2g4b
P0C871,RHEA:44524,Pla2g4b
P0C871,RHEA:63996,Pla2g4b
P0C871,RHEA:63996,Pla2g4b
P0C871,RHEA:63996,Pla2g4b
P0C871,RHEA:63996,Pla2g4b
P0C871,RHEA:63996,Pla2g4b
P0CE78,RHEA:60700,
P0CE78,RHEA:60700,
P0CE78,RHEA:60700,
P0CE78,RHEA:60700,
P0CE78,RHEA:60700,
P0CE78,RHEA:60704,
P0CE78,RHEA:60704,
P0CE78,RHEA:60704,
P0CE78,RHEA:60704,
P0CE78,RHEA:60704,
P0CE79,RHEA:60700,
P0CE79,RHEA:60700,
P0CE79,RHEA:60700,
P0CE79,RHEA:60700,
P0CE79,RHEA:60700,
P0CE79,RHEA:60704,
P0CE79,RHEA:60704,
P0CE79,RHEA:60704,
P0CE79,RHEA:60704,
P0CE79,RHEA:60704,
P0CE80,RHEA:60700,
P0CE80,RHEA:60700,
P0CE80,RHEA:60700,
P0CE80,RHEA:60700,
P0CE80,RHEA:60700,
P0CE80,RHEA:60704,
P0CE80,RHEA:60704,
P0CE80,RHEA:60704,
P0CE80,RHEA:60704,
P0CE80,RHEA:60704,
P0CE81,RHEA:60700,
P0CE81,RHEA:60700,
P0CE81,RHEA:60700,
P0CE81,RHEA:60700,
P0CE81,RHEA:60700,
P0CE81,RHEA:60704,
P0CE81,RHEA:60704,
P0CE81,RHEA:60704,
P0CE81,RHEA:60704,
P0CE81,RHEA:60704,
P0CE82,RHEA:60700,
P0CE82,RHEA:60700,
P0CE82,RHEA:60700,
P0CE82,RHEA:60700,
P0CE82,RHEA:60700,
P0CE82,RHEA:60704,
P0CE82,RHEA:60704,
P0CE82,RHEA:60704,
P0CE82,RHEA:60704,
P0CE82,RHEA:60704,
P0CE83,RHEA:60700,
P0CE83,RHEA:60700,
P0CE83,RHEA:60700,
P0CE83,RHEA:60700,
P0CE83,RHEA:60700,
P0CE83,RHEA:60704,
P0CE83,RHEA:60704,
P0CE83,RHEA:60704,
P0CE83,RHEA:60704,
P0CE83,RHEA:60704,
P0CE84,RHEA:60700,
P0CE84,RHEA:60700,
P0CE84,RHEA:60700,
P0CE84,RHEA:60700,
P0CE84,RHEA:60700,
P0CE84,RHEA:60704,
P0CE84,RHEA:60704,
P0CE84,RHEA:60704,
P0CE84,RHEA:60704,
P0CE84,RHEA:60704,
P0CN90,RHEA:22724,ATG26
P0CN90,RHEA:22724,ATG26
P0CN90,RHEA:22724,ATG26
P0CN90,RHEA:22724,ATG26
P0CN90,RHEA:22724,ATG26
P0CN91,RHEA:22724,ATG26
P0CN91,RHEA:22724,ATG26
P0CN91,RHEA:22724,ATG26
P0CN91,RHEA:22724,ATG26
P0CN91,RHEA:22724,ATG26
P0CR36,RHEA:22640,TSC10
P0CR36,RHEA:22640,TSC10
P0CR36,RHEA:22640,TSC10
P0CR36,RHEA:22640,TSC10
P0CR36,RHEA:22640,TSC10
P0CR37,RHEA:22640,TSC10
P0CR37,RHEA:22640,TSC10
P0CR37,RHEA:22640,TSC10
P0CR37,RHEA:22640,TSC10
P0CR37,RHEA:22640,TSC10
P0CT10,RHEA:21128,ERG6
P0CT10,RHEA:21128,ERG6
P0CT10,RHEA:21128,ERG6
